test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3439,False,2.557485580444336,2553,3010,0.9967721180379973,0.9993647679009174
3440,False,2.6032402515411377,2457,3016,0.9963712830196412,0.999457388699575
3441,False,2.756387710571289,2587,3125,0.9969764222890195,0.9996464134273387
3442,False,2.703199863433838,2600,3135,0.9970423242878074,0.9997311081633238
3443,False,2.813673973083496,1113,2901,0.9963519363077764,0.9993344181681783
3444,False,3.1801624298095703,2558,3125,0.9972728743762257,0.9994702192483333
3445,False,2.573349952697754,2553,3013,0.997126689171593,0.9996948030664977
3446,False,2.6898412704467773,2551,2956,0.997367106780748,0.9996881421345838
3447,False,2.8209023475646973,2682,3158,0.9974778053003516,0.9997846699274954
3448,False,3.0882086753845215,2468,2956,0.9970629381452755,0.9993937795273122
3449,False,2.8935437202453613,2598,3125,0.9972687764770477,0.9995979740389159
3450,False,2.836881160736084,1182,3010,0.9971763720350052,0.9996309018322942
3451,False,3.2609071731567383,2557,3010,0.9969105048615029,0.9991884520086093
3452,False,2.5184059143066406,2850,3158,0.9974431478091658,0.9995778601299223
3453,False,2.761714458465576,2606,3143,0.9969054842668177,0.9988031171626166
3454,False,2.589629650115967,2587,3125,0.9967602936204403,0.9994192725769744
3455,False,2.846858501434326,2551,3125,0.9969407165224752,0.9986138066196286
3456,False,2.5815348625183105,2787,3158,0.997444771525267,0.9994275082326087
3457,False,2.5037801265716553,2846,3158,0.9976101947900279,0.9994676889477961
3458,False,2.5766448974609375,2551,3127,0.9972779819419689,0.9987751015820725
3459,False,2.5659565925598145,2598,3127,0.9975265962369676,0.9996055713515578
3460,False,2.8864049911499023,2606,3127,0.997636112691502,0.9991793186588888
3461,False,2.5141003131866455,2606,3125,0.9972254808901617,0.9994691792553714
3462,False,2.164214611053467,2682,3158,0.9970876327202924,0.9997316599244221
3463,False,3.191993474960327,2468,3155,0.9975904816402179,0.9993956870172287
3464,False,2.452345132827759,2860,3158,0.997595829172999,0.9990657706497885
3465,False,2.4629321098327637,3001,3160,0.9977637718247975,0.9997103175389764
3466,False,2.118215560913086,3016,3158,0.9976435581960373,0.9995190044159915
